Place's name,Place's rank,Place's type,Place's status,Place's time,Place's images,Place's url,Place's rate,Place's total reviewer,Place's 5 points,Place's 4 points,Place's 3 points,Place's 2 points,Place's 1 points,retrived_date,Province
Nagai Spa,Số 217 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8262716-Reviews-Nagai_Spa-Hanoi.html,4,5,2,1,1,1,0,4/21/2022,Hà Nội
Hanoi Creative City,Số 218 trong 259 hoạt động giải trí tại Hà Nội,Khu lân cận,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11444918-Reviews-Hanoi_Creative_City-Hanoi.html,2,4,0,0,1,1,2,4/21/2022,Hà Nội
Duong Vietnam Fine Art,Số 184 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2482949-Reviews-Duong_Vietnam_Fine_Art-Hanoi.html,3.5,4,1,2,0,0,1,4/21/2022,Hà Nội
Karen Lounge,Số 49 trên 158 Giải trí về đêm ở Hà Nội,Quầy bar karaoke,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17531578-Reviews-Karen_Lounge-Hanoi.html,5,4,4,0,0,0,0,4/21/2022,Hà Nội
Eco Lilly Spa,Số 163 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,13,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12314882-Reviews-Eco_Lilly_Spa-Hanoi.html,5,4,4,0,0,0,0,4/21/2022,Hà Nội
An Care Health Spa,Số 168 trên 332 Spa & Sức khỏe ở Hà Nội,Spa • Spa nước nóng,,,16,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14928608-Reviews-An_Care_Health_Spa-Hanoi.html,5,4,4,0,0,0,0,4/21/2022,Hà Nội
Hà Nội Spa,Số 210 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12821397-Reviews-Ha_Noi_Spa-Hanoi.html,4,4,3,0,0,0,1,4/21/2022,Hà Nội
Thiên Mộc Hương - Agarwood Jewelry,Số 158 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,19,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15300743-Reviews-Thien_Moc_Huong_Ha_Noi_Agarwood_Jewelry-Hanoi.html,5,3,3,0,0,0,0,4/21/2022,Hà Nội
Hamsa Spa & Massage Trị Liệu,Số 182 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14028247-Reviews-Hamsa_Spa_Massage_Tri_Lieu-Hanoi.html,5,3,3,0,0,0,0,4/21/2022,Hà Nội
Betterday - Natural products,Số 198 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,12,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17440355-Reviews-Betterday_Natural_products-Hanoi.html,4,3,1,1,1,0,0,4/21/2022,Hà Nội
EBus Line,Số 166 trên 346 Phương tiện giao thông ở Hà Nội,Dịch vụ xe buýt • Hệ thống giao thông công cộng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9454812-Reviews-EBus_Line-Hanoi.html,3.5,3,2,0,0,0,1,4/21/2022,Hà Nội
Taxi Nội Bài,Số 177 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,16,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10824698-Reviews-Taxi_Noi_Bai-Hanoi.html,3,3,1,0,1,0,1,4/21/2022,Hà Nội
Hathor Art Gallery,Số 144 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,21,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15588333-Reviews-Hathor_Art_Gallery-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Phố Hàng Mã,Số 149 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17366751-Reviews-Hang_Ma_Street-Hanoi.html,4.5,2,1,1,0,0,0,4/21/2022,Hà Nội
Ruby Plaza,Số 211 trong 259 hoạt động giải trí tại Hà Nội,Trung tâm mua sắm,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14137876-Reviews-Ruby_Plaza-Hanoi.html,2.5,2,0,1,0,0,1,4/21/2022,Hà Nội
Phòng Tranh Viet Fine Arts,Số 183 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8532671-Reviews-Viet_Fine_Arts_Gallery-Hanoi.html,4,2,0,2,0,0,0,4/21/2022,Hà Nội
Khu Du lich Long Việt,Số 181 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d3872020-Reviews-Khu_Du_lich_Long_Viet-Hanoi.html,4,2,1,0,1,0,0,4/21/2022,Hà Nội
La Ba Quan - Vietnamese Painter,Số 152 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12351120-Reviews-La_Ba_Quan_Vietnamese_Painter-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
EnVogue Home,Số 174 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,8,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19254824-Reviews-EnVogue_Home-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Madam Tran Cooking Class Centre,Số 86 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,25,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d20017843-Reviews-Madam_Tran_Cooking_Class_Centre-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
An Beauty Spa,Số 190 trên 332 Spa & Sức khỏe ở Hà Nội,Spa • Spa nước nóng,,,18,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18996534-Reviews-An_Beauty_Spa-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Cerender,Số 187 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15661667-Reviews-Cerender-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Sun Spa Travel,Số 196 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15044252-Reviews-Sun_Spa_Travel-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Halong Eco Limousine,Số 134 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14758485-Reviews-Halong_Eco_Limousine-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Sắc Việt Spa,Số 202 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,9,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12906887-Reviews-Sac_Viet_Spa-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Bếp dạy nấu ăn cô Dương Yến,Số 90 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10088687-Reviews-Yen_Cooking-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Module 7,Số 202 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6533186-Reviews-Module_7-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
LC Home,Số 245 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11760944-Reviews-LC_Home-Hanoi.html,4,2,1,0,1,0,0,4/21/2022,Hà Nội
Nineteen bar,Số 98 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,16,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6523112-Reviews-Nineteen_bar-Hanoi.html,3,2,1,0,0,0,1,4/21/2022,Hà Nội
Babylon Paradise Spa,Số 267 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18717793-Reviews-Babylon_Paradise_Spa-Hanoi.html,2,2,0,0,1,0,1,4/21/2022,Hà Nội
Hanoi Airport pick up,Số 190 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12805739-Reviews-Hanoi_Airport_pick_up-Hanoi.html,1,2,0,0,0,0,2,4/21/2022,Hà Nội
Đền Mẫu Phù Đổng,Số 193 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm tôn giáo,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14887833-Reviews-Mau_Phu_Dong_Temple-Hanoi.html,4,1,0,1,0,0,0,4/22/2022,Hà Nội
HeriTran Classic Cars Museum,Số 197 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng chuyên ngành,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6223407-Reviews-HeriTran_Classic_Cars_Museum-Hanoi.html,4,1,0,1,0,0,0,4/22/2022,Hà Nội
Vinatourist,Số 216 trong 259 hoạt động giải trí tại Hà Nội,Đường đi bộ,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10802663-Reviews-Vinatourist-Hanoi.html,1,1,0,0,0,0,1,4/22/2022,Hà Nội
Ps Titan,Số 36 trên 100 Vui chơi & Giải trí ở Hà Nội,Trung tâm trò chơi & giải trí,Đang mở cửa,08:30 - 23:30,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23372046-Reviews-Ps_Titan-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
Euphorea Salon and Spa - La Chapelle,Số 180 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d22952573-Reviews-Euphorea_Salon_and_Spa_La_Chapelle-Hanoi.html,5,2,2,0,0,0,0,4/22/2022,Hà Nội
Cỏ Mềm HomeLab,Số 215 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,20,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19298534-Reviews-Co_Mem_HomeLab-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
The Collectives,Số 224 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18192737-Reviews-The_Collectives-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
Mimosa,Số 229 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17809855-Reviews-Mimosa-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
Kỳ Anh Massage & Spa,Số 227 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,00:00 - 23:59,12,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17382579-Reviews-Ky_Anh_Massage_Spa-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
GU,Số 84 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13809570-Reviews-GU-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
Deafcraft 5 Colors,Số 237 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15186179-Reviews-Deafcraft_5_Colors-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
Viet Travel Link Corporation,Số 688 trên 947 Hoạt động ngoài trời ở Hà Nội,Cho thuê tiện ích,,,8,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4079576-Reviews-Viet_Travel_Link_Corporation-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
Binh Embroidery,Số 244 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12955385-Reviews-Binh_Embroidery-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
Dome,Số 249 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng • Cửa hàng của nhà máy,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11437103-Reviews-Dome-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
Secret pub,Số 90 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7907365-Reviews-Secret_pub-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
Boardgame VN,Số 47 trên 100 Vui chơi & Giải trí ở Hà Nội,Trung tâm trò chơi & giải trí,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14919971-Reviews-Boardgame_VN-Hanoi.html,4,1,0,1,0,0,0,4/22/2022,Hà Nội
Vietnam Authentique - voyages sur mesure,Số 711 trên 947 Hoạt động ngoài trời ở Hà Nội,Các hoạt động ngoài trời khác,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6378325-Reviews-Vietnam_Authentique_voyages_sur_mesure-Hanoi.html,5,1,1,0,0,0,0,4/22/2022,Hà Nội
The White Shop,Số 266 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4755505-Reviews-The_White_Shop-Hanoi.html,4,1,0,1,0,0,0,4/22/2022,Hà Nội
Caribbean,Số 101 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,Đang đóng cửa,21:00 - 12:00,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13646648-Reviews-Caribbean-Hanoi.html,1.1,1,0,0,0,1,0,4/22/2022,Hà Nội
Win Motorbike,Số 732 trên 947 Hoạt động ngoài trời ở Hà Nội,Cho thuê tiện ích,Đang mở cửa,09:00 - 18:00,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11437053-Reviews-Win_Motorbike-Hanoi.html,1,1,0,0,0,0,1,4/22/2022,Hà Nội
The Lighthouse,Số 104 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19089975-Reviews-The_Lighthouse-Hanoi.html,1,1,0,0,0,0,1,4/22/2022,Hà Nội
Top Vietnam Golf Tour,Số 220 trong 259 hoạt động giải trí tại Hà Nội,Trung tâm & trại thể thao,Đang mở cửa,08:00 - 20:00,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12036034-Reviews-Top_Vietnam_Golf_Tour-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Tour Sapa By Bus,Số 196 trên 345 Phương tiện giao thông ở Hà Nội,Dịch vụ xe buýt,Đang mở cửa,07:00 - 17:00,16,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11925452-Reviews-Tour_Sapa_By_Bus-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Áo Dài La Sen Vũ,Số 296 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,08:00 - 21:30,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11966150-Reviews-Ao_Dai_La_Sen_Vu-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Thuê Xe Máy Hà Nội (Mr-Good Bikes),Số 749 trên 947 Hoạt động ngoài trời ở Hà Nội,Cho thuê tiện ích,Đang mở cửa,00:00 - 23:59,24,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17321564-Reviews-Motorbike_For_Rent_In_Hanoi_Mr_Good_Bikes-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Vat Pham Go,Số 402 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11038866-Reviews-Vat_Pham_Go-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Piston Heads Hanoi,Số 252 trong 259 hoạt động giải trí tại Hà Nội,Đường đi xe đạp • Đi xe ngắm cảnh,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10844936-Reviews-Piston_Heads_Hanoi-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Life Drawing Hanoi,Số 253 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật • Viện bảo tàng nghệ thuật,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10758336-Reviews-Life_Drawing_Hanoi-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Hanako Spa,Số 322 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 20:00,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12423382-Reviews-Hanako_Spa-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Shredded Academy,Số 321 trên 332 Spa & Sức khỏe ở Hà Nội,Câu lạc bộ sức khỏe,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12670031-Reviews-Shredded_Academy-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Bloom Spa,Số 325 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11922114-Reviews-Bloom_Spa-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
tiNiWorld,Số 38 trên 39 Thiên nhiên & Công viên ở Hà Nội,Sân chơi • Trung tâm trò chơi & giải trí,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9996401-Reviews-TiNiWorld-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
tiNiWorld,Số 39 trên 39 Thiên nhiên & Công viên ở Hà Nội,Sân chơi • Trung tâm trò chơi & giải trí,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9996393-Reviews-TiNiWorld-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
D&C Gallery,Số 390 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13613292-Reviews-D_C_Gallery-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Moc Chau Express,Số 338 trên 345 Phương tiện giao thông ở Hà Nội,Dịch vụ xe buýt,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12622751-Reviews-Moc_Chau_Express-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
PART Performing Arts and Revival Theatre,Số 30 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Nhà hát & biểu diễn,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11888459-Reviews-PART_Performing_Arts_and_Revival_Theatre-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
GreenLion,Số 336 trên 345 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14138746-Reviews-GreenLion-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Klayy Home,Số 376 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15582743-Reviews-Klayy_Home-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Shi Beauty & Spa,Số 309 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15527408-Reviews-Shi_Beauty_Spa-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Diamond Spa,Số 306 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,08:00 - 21:00,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15698325-Reviews-Diamond_Spa-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
The Manner's Tailor,Số 374 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15815310-Reviews-The_Manner_s_Tailor-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Sakura Spa Massage,Số 303 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17288395-Reviews-Sakura_Spa_Massage-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Hills Beauty,Số 305 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16817081-Reviews-Hills_Beauty-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Duong's Cooking Class,Số 150 trên 178 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,Đang mở cửa,08:30 - 19:00,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17754803-Reviews-Duong_s_Cooking_Class-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Nhà May Bảo Minh,Số 365 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 20:00,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17809870-Reviews-Nha_May_Bao_Minh-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Mộc Nhiên Tâm An,Số 369 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 21:00,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17519326-Reviews-Moc_Nhien_Tam_An-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Ra Riêng Store,Số 87 trên 100 Vui chơi & Giải trí ở Hà Nội,Xưởng vẽ & làm đồ gốm,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17462463-Reviews-Ra_Rieng_Store-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
The Nail & Beauty Studio,Số 294 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 21:00,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18939745-Reviews-The_Nail_Beauty_Studio-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Văn Hoá Điếu Cày,Số 360 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18844313-Reviews-Van_Hoa_Dieu_Cay-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Thuy Toan Art Ceramic & Pordelain Exportation,Số 384 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14795449-Reviews-Thuy_Toan_Art_Ceramic_Pordelain_Exportation-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Blue Eyes Karaoke,Số 147 trên 158 Giải trí về đêm ở Hà Nội,Quầy bar karaoke,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15232266-Reviews-Blue_Eyes_Karaoke-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Vườn Thú Hà Nội,Số 245 trong 259 hoạt động giải trí tại Hà Nội,Sở thú,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15197091-Reviews-Vuon_Thu_Ha_Noi-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Amadora Xuân Diệu,Số 284 trên 332 Spa & Sức khỏe ở Hà Nội,Câu lạc bộ sức khỏe • Yoga & pilate • Khu nghỉ dưỡng có suối nước nóng • Spa • Spa nước nóng,Đang mở cửa,09:00 - 21:00,35,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d21351109-Reviews-Amadora_Xuan_Di_u-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
Lotus Spa,Số 242 trong 259 hoạt động giải trí tại Hà Nội,Trung tâm & trại thể thao,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17602839-Reviews-Lotus_Spa-Hanoi.html,,0,0,0,0,0,0,4/22/2022,Hà Nội
